quantity,vintage,full_name,category,colour,country,region,subregion,appellation,location_text,bottle_size,producer,wine_name,storage_location,purchase_price,current_value,drink_from,drink_to,notes
1,1996,Veuve Clicquot Champagne Brut Vintage,SPARKLING WINES,White,France,Champagne,,,"France, Champagne",750ml,,Veuve Clicquot Champagne Brut Vintage,,,,,,
6,2023,Bodega Chacra Chardonnay Mainque,DRY WINES,White,Argentina,Patagonia,,,"Argentina, Patagonia",750ml,,Bodega Chacra Chardonnay Mainque,,,,,,
2,2019,Rainer Wess Grüner Veltliner,DRY WINES,White,Austria,Niederösterreich,Wachau,,"Austria, Niederösterreich, Wachau",750ml,,Rainer Wess Grüner Veltliner,,,,,,
3,2019,The Wine Society Sauvignon Blanc,DRY WINES,White,France,Bordeaux,,,"France, Bordeaux",750ml,,The Wine Society Sauvignon Blanc,,,,,,
6,2022,Arnaud Baillot Bourgogne Côte d'Or Blanc,DRY WINES,White,France,Burgundy,Bourgogne Côte d'Or,,"France, Burgundy, Bourgogne Côte d'Or",750ml,,Arnaud Baillot Bourgogne Côte d'Or Blanc,,,,,,
1,2018,Samuel Billaud Chablis,DRY WINES,White,France,Burgundy,Chablis,,"France, Burgundy, Chablis",1.5L,,Samuel Billaud Chablis,,,,,,
12,2022,J.M. Boillot Bourgogne Blanc,DRY WINES,White,France,Burgundy,Bourgogne Blanc,,"France, Burgundy, Bourgogne Blanc",750ml,,J.M. Boillot Bourgogne Blanc,,,,,,
2,2018,Joseph Burrier Pouilly-Fuissé Wine Society Exhibition,DRY WINES,White,France,Burgundy,Mâconnais,Pouilly-Fuissé,"France, Burgundy, Mâconnais, Pouilly-Fuissé",750ml,,Joseph Burrier Pouilly-Fuissé Wine Society Exhibition,,,,,,
6,2022,Château de Charodon Bourgogne,DRY WINES,White,France,Burgundy,Bourgogne,,"France, Burgundy, Bourgogne",750ml,,Château de Charodon Bourgogne,,,,,,
12,2020,Château du Clos Pouilly-Fuissé,DRY WINES,White,France,Burgundy,Mâconnais,Pouilly-Fuissé,"France, Burgundy, Mâconnais, Pouilly-Fuissé",750ml,,Château du Clos Pouilly-Fuissé,,,,,,
6,2018,Domaine Fabien Coche Auxey-Duresses Blanc,DRY WINES,White,France,Burgundy,Côte de Beaune,Auxey-Duresses,"France, Burgundy, Côte de Beaune, Auxey-Duresses",750ml,,Domaine Fabien Coche Auxey-Duresses Blanc,,,,,,
6,2020,Domaine Fabien Coche Auxey-Duresses Blanc,DRY WINES,White,France,Burgundy,Côte de Beaune,Auxey-Duresses,"France, Burgundy, Côte de Beaune, Auxey-Duresses",750ml,,Domaine Fabien Coche Auxey-Duresses Blanc,,,,,,
12,2021,Domaine Fabien Coche Auxey-Duresses Blanc,DRY WINES,White,France,Burgundy,Côte de Beaune,Auxey-Duresses,"France, Burgundy, Côte de Beaune, Auxey-Duresses",750ml,,Domaine Fabien Coche Auxey-Duresses Blanc,,,,,,
12,2022,Domaine Fabien Coche Auxey-Duresses Blanc,DRY WINES,White,France,Burgundy,Côte de Beaune,Auxey-Duresses,"France, Burgundy, Côte de Beaune, Auxey-Duresses",750ml,,Domaine Fabien Coche Auxey-Duresses Blanc,,,,,,
4,2017,Domaine Fabien Coche Chardonnay Bourgogne Côte d'Or,DRY WINES,White,France,Burgundy,Bourgogne Côte d'Or,,"France, Burgundy, Bourgogne Côte d'Or",750ml,,Domaine Fabien Coche Chardonnay Bourgogne Côte d'Or,,,,,,
6,2018,Domaine Fabien Coche Chardonnay Bourgogne Côte d'Or,DRY WINES,White,France,Burgundy,Bourgogne Côte d'Or,,"France, Burgundy, Bourgogne Côte d'Or",750ml,,Domaine Fabien Coche Chardonnay Bourgogne Côte d'Or,,,,,,
6,2017,Domaine Fabien Coche Meursault,DRY WINES,White,France,Burgundy,Côte de Beaune,Meursault,"France, Burgundy, Côte de Beaune, Meursault",750ml,,Domaine Fabien Coche Meursault,,,,,,
6,2020,Domaine Fabien Coche Meursault,DRY WINES,White,France,Burgundy,Côte de Beaune,Meursault,"France, Burgundy, Côte de Beaune, Meursault",750ml,,Domaine Fabien Coche Meursault,,,,,,
2,2016,Coche-Bizouard Auxey-Duresses Blanc,DRY WINES,White,France,Burgundy,Côte de Beaune,Auxey-Duresses,"France, Burgundy, Côte de Beaune, Auxey-Duresses",750ml,,Coche-Bizouard Auxey-Duresses Blanc,,,,,,
12,2017,Francois d'Allaines Auxey-Duresses Blanc,DRY WINES,White,France,Burgundy,Côte de Beaune,Auxey-Duresses,"France, Burgundy, Côte de Beaune, Auxey-Duresses",750ml,,Francois d'Allaines Auxey-Duresses Blanc,,,,,,
12,2019,Jean-Philippe Fichet Auxey-Duresses Blanc,DRY WINES,White,France,Burgundy,Côte de Beaune,Auxey-Duresses,"France, Burgundy, Côte de Beaune, Auxey-Duresses",750ml,,Jean-Philippe Fichet Auxey-Duresses Blanc,,,,,,
6,2022,Jean-Philippe Fichet Bourgogne Blanc Vieilles Vignes,DRY WINES,White,France,Burgundy,Bourgogne Blanc,,"France, Burgundy, Bourgogne Blanc",750ml,,Jean-Philippe Fichet Bourgogne Blanc Vieilles Vignes,,,,,,
12,2018,Olivier Leﬂaive Auxey-Duresses Blanc,DRY WINES,White,France,Burgundy,Côte de Beaune,Auxey-Duresses,"France, Burgundy, Côte de Beaune, Auxey-Duresses",750ml,,Olivier Leﬂaive Auxey-Duresses Blanc,,,,,,
6,2020,Olivier Leﬂaive Auxey-Duresses Blanc,DRY WINES,White,France,Burgundy,Côte de Beaune,Auxey-Duresses,"France, Burgundy, Côte de Beaune, Auxey-Duresses",750ml,,Olivier Leﬂaive Auxey-Duresses Blanc,,,,,,
6,2022,Olivier Leﬂaive Auxey-Duresses Blanc,DRY WINES,White,France,Burgundy,Côte de Beaune,Auxey-Duresses,"France, Burgundy, Côte de Beaune, Auxey-Duresses",750ml,,Olivier Leﬂaive Auxey-Duresses Blanc,,,,,,
12,2020,Olivier Leﬂaive Bourgogne Blanc Les Sétilles,DRY WINES,White,France,Burgundy,Bourgogne Blanc,,"France, Burgundy, Bourgogne Blanc",750ml,,Olivier Leﬂaive Bourgogne Blanc Les Sétilles,,,,,,
6,2022,Olivier Leﬂaive Bourgogne Blanc Les Sétilles,DRY WINES,White,France,Burgundy,Bourgogne Blanc,,"France, Burgundy, Bourgogne Blanc",750ml,,Olivier Leﬂaive Bourgogne Blanc Les Sétilles,,,,,,
12,2018,Olivier Leﬂaive Bourgogne Blanc Oncle Vincent,DRY WINES,White,France,Burgundy,Bourgogne Blanc,,"France, Burgundy, Bourgogne Blanc",750ml,,Olivier Leﬂaive Bourgogne Blanc Oncle Vincent,,,,,,
6,2022,Olivier Leﬂaive Bourgogne Blanc Oncle Vincent,DRY WINES,White,France,Burgundy,Bourgogne Blanc,,"France, Burgundy, Bourgogne Blanc",750ml,,Olivier Leﬂaive Bourgogne Blanc Oncle Vincent,,,,,,
4,2015,Olivier Leﬂaive Meursault Les Clous,DRY WINES,White,France,Burgundy,Côte de Beaune,Meursault,"France, Burgundy, Côte de Beaune, Meursault",750ml,,Olivier Leﬂaive Meursault Les Clous,,,,,,
6,2022,Olivier Merlin Pouilly-Fuissé Vieilles Vignes,DRY WINES,White,France,Burgundy,Mâconnais,Pouilly-Fuissé,"France, Burgundy, Mâconnais, Pouilly-Fuissé",750ml,,Olivier Merlin Pouilly-Fuissé Vieilles Vignes,,,,,,
18,2019,Domaine de Montille Bourgogne Le Clos du Chateau,DRY WINES,White,France,Burgundy,Bourgogne,,"France, Burgundy, Bourgogne",750ml,,Domaine de Montille Bourgogne Le Clos du Chateau,,,,,,
6,2018,Domaine de Montille Puligny-Montrachet,DRY WINES,White,France,Burgundy,Côte de Beaune,Puligny-Montrachet,"France, Burgundy, Côte de Beaune, Puligny-Montrachet",750ml,,Domaine de Montille Puligny-Montrachet,,,,,,
5,2019,Château de Pizay Beaujolais Blanc,DRY WINES,White,France,Burgundy,Beaujolais,,"France, Burgundy, Beaujolais",750ml,,Château de Pizay Beaujolais Blanc,,,,,,
6,2018,Maison Roche de Bellene Montagny Blanc,DRY WINES,White,France,Burgundy,Côte Chalonnaise,Montagny,"France, Burgundy, Côte Chalonnaise, Montagny",750ml,,Maison Roche de Bellene Montagny Blanc,,,,,,
6,2020,Château des Rontets Pouilly-Fuissé Clos Varambon,DRY WINES,White,France,Burgundy,Mâconnais,Pouilly-Fuissé,"France, Burgundy, Mâconnais, Pouilly-Fuissé",750ml,,Château des Rontets Pouilly-Fuissé Clos Varambon,,,,,,
6,2018,Domaine Saint-Denis Mâcon-Chardonnay,DRY WINES,White,France,Burgundy,Mâconnais,Mâcon-Chardonnay,"France, Burgundy, Mâconnais, Mâcon-Chardonnay",750ml,,Domaine Saint-Denis Mâcon-Chardonnay,,,,,,
24,2019,Domaine Saint-Denis Mâcon-Lugny Terroirs Pluriels,DRY WINES,White,France,Burgundy,Mâconnais,Mâcon-Lugny,"France, Burgundy, Mâconnais, Mâcon-Lugny",750ml,,Domaine Saint-Denis Mâcon-Lugny Terroirs Pluriels,,,,,,
5,2019,Sebastien Dampt Chablis 1er Cru Les Beugnons,DRY WINES,White,France,Burgundy,Chablis,Chablis 1er Cru,"France, Burgundy, Chablis, Chablis 1er Cru",750ml,,Sebastien Dampt Chablis 1er Cru Les Beugnons,,,,,,
1,2018,Domaine Guillemarine Picpoul de Pinet,DRY WINES,White,France,Languedoc Roussillon,Languedoc,Picpoul de Pinet,"France, Languedoc Roussillon, Languedoc, Picpoul de Pinet",750ml,,Domaine Guillemarine Picpoul de Pinet,,,,,,
1,2010,Il Cascinone Piemonte Moscato Moscato Passito,DRY WINES,White,Italy,Piedmont,Piemonte DOC,,"Italy, Piedmont, Piemonte DOC",375ml,,Il Cascinone Piemonte Moscato Moscato Passito,,,,,,
3,2018,Kumeu River Chardonnay Rays Road,DRY WINES,White,New Zealand,North Island,Hawke's Bay,,"New Zealand, North Island, Hawke's Bay",750ml,,Kumeu River Chardonnay Rays Road,,,,,,
6,2021,El Enemigo Cabernet Franc Gran Enemigo Chacayes,DRY WINES,Red,Argentina,Mendoza,Valle de Uco,Chacayes,"Argentina, Mendoza, Valle de Uco, Chacayes",750ml,,El Enemigo Cabernet Franc Gran Enemigo Chacayes,,,,,,
1,2018,Bodega Catena Zapata Cabernet Sauvignon Catena High Mountain Vines,DRY WINES,Red,Argentina,Mendoza,,,"Argentina, Mendoza",750ml,,Bodega Catena Zapata Cabernet Sauvignon Catena High Mountain Vines,,,,,,
1,2014,Penfolds Shiraz Bin 28 Kalimna,DRY WINES,Red,Australia,South Australia,,,"Australia, South Australia",750ml,,Penfolds Shiraz Bin 28 Kalimna,,,,,,
3,2019,Château d'Angludet,DRY WINES,Red,France,Bordeaux,Médoc,Margaux,"France, Bordeaux, Médoc, Margaux",1.5L,,Château d'Angludet,,,,,,
3,2021,Château d'Angludet,DRY WINES,Red,France,Bordeaux,Médoc,Margaux,"France, Bordeaux, Médoc, Margaux",1.4L,,Château d'Angludet,,,,,,
18,2021,Baron Edmond de Rothschild Les 3 Cedres,DRY WINES,Red,France,Bordeaux,Libournais,Montagne-Saint-Émilion,"France, Bordeaux, Libournais, Montagne-Saint-Émilion",750ml,,Baron Edmond de Rothschild Les 3 Cedres,,,,,,
5,2010,Château Batailley,DRY WINES,Red,France,Bordeaux,Médoc,Pauillac,"France, Bordeaux, Médoc, Pauillac",750ml,,Château Batailley,,,,,,
2,2017,Château Batailley,DRY WINES,Red,France,Bordeaux,Médoc,Pauillac,"France, Bordeaux, Médoc, Pauillac",1.5L,,Château Batailley,,,,,,
3,2018,Château Batailley,DRY WINES,Red,France,Bordeaux,Médoc,Pauillac,"France, Bordeaux, Médoc, Pauillac",1.5L,,Château Batailley,,,,,,
3,2019,Château Batailley,DRY WINES,Red,France,Bordeaux,Médoc,Pauillac,"France, Bordeaux, Médoc, Pauillac",1.4L,,Château Batailley,,,,,,
3,2021,Château Batailley,DRY WINES,Red,France,Bordeaux,Médoc,Pauillac,"France, Bordeaux, Médoc, Pauillac",1.4L,,Château Batailley,,,,,,
1,2021,Château Batailley,DRY WINES,Red,France,Bordeaux,Médoc,Pauillac,"France, Bordeaux, Médoc, Pauillac",3.0L,,Château Batailley,,,,,,
1,2021,Château Batailley,DRY WINES,Red,France,Bordeaux,Médoc,Pauillac,"France, Bordeaux, Médoc, Pauillac",9.0L,,Château Batailley,,,,,,
9,2016,Château Beaumont,DRY WINES,Red,France,Bordeaux,Médoc,Haut-Médoc,"France, Bordeaux, Médoc, Haut-Médoc",750ml,,Château Beaumont,,,,,,
1,2016,Château Beaumont,DRY WINES,Red,France,Bordeaux,Médoc,Haut-Médoc,"France, Bordeaux, Médoc, Haut-Médoc",1.4L,,Château Beaumont,,,,,,
8,2017,Château Beaumont,DRY WINES,Red,France,Bordeaux,Médoc,Haut-Médoc,"France, Bordeaux, Médoc, Haut-Médoc",750ml,,Château Beaumont,,,,,,
4,2018,Château Beaumont,DRY WINES,Red,France,Bordeaux,Médoc,Haut-Médoc,"France, Bordeaux, Médoc, Haut-Médoc",750ml,,Château Beaumont,,,,,,
12,2019,Château Beaumont,DRY WINES,Red,France,Bordeaux,Médoc,Haut-Médoc,"France, Bordeaux, Médoc, Haut-Médoc",750ml,,Château Beaumont,,,,,,
1,2019,Château Beaumont,DRY WINES,Red,France,Bordeaux,Médoc,Haut-Médoc,"France, Bordeaux, Médoc, Haut-Médoc",1.5L,,Château Beaumont,,,,,,
3,2021,Château Beaumont,DRY WINES,Red,France,Bordeaux,Médoc,Haut-Médoc,"France, Bordeaux, Médoc, Haut-Médoc",1.4L,,Château Beaumont,,,,,,
6,2014,Château Beychevelle,DRY WINES,Red,France,Bordeaux,Médoc,Saint-Julien,"France, Bordeaux, Médoc, Saint-Julien",750ml,,Château Beychevelle,,,,,,
1,2012,Château Branaire-Ducru,DRY WINES,Red,France,Bordeaux,Médoc,Saint-Julien,"France, Bordeaux, Médoc, Saint-Julien",6.0L,,Château Branaire-Ducru,,,,,,
6,2021,Château Brane-Cantenac,DRY WINES,Red,France,Bordeaux,Médoc,Margaux,"France, Bordeaux, Médoc, Margaux",750ml,,Château Brane-Cantenac,,,,,,
4,2015,Château Brane-Cantenac Le Baron de Brane,DRY WINES,Red,France,Bordeaux,Médoc,Margaux,"France, Bordeaux, Médoc, Margaux",750ml,,Château Brane-Cantenac Le Baron de Brane,,,,,,
6,2016,Château Brane-Cantenac Le Baron de Brane,DRY WINES,Red,France,Bordeaux,Médoc,Margaux,"France, Bordeaux, Médoc, Margaux",750ml,,Château Brane-Cantenac Le Baron de Brane,,,,,,
6,2019,Château Brane-Cantenac Le Baron de Brane,DRY WINES,Red,France,Bordeaux,Médoc,Margaux,"France, Bordeaux, Médoc, Margaux",750ml,,Château Brane-Cantenac Le Baron de Brane,,,,,,
1,2019,Château Cantemerle,DRY WINES,Red,France,Bordeaux,Médoc,Haut-Médoc,"France, Bordeaux, Médoc, Haut-Médoc",6.0L,,Château Cantemerle,,,,,,
12,2017,Château Caronne Ste. Gemme,DRY WINES,Red,France,Bordeaux,Médoc,Haut-Médoc,"France, Bordeaux, Médoc, Haut-Médoc",750ml,,Château Caronne Ste. Gemme,,,,,,
12,2018,Château Caronne Ste. Gemme,DRY WINES,Red,France,Bordeaux,Médoc,Haut-Médoc,"France, Bordeaux, Médoc, Haut-Médoc",750ml,,Château Caronne Ste. Gemme,,,,,,
1,2019,Château Caronne Ste. Gemme,DRY WINES,Red,France,Bordeaux,Médoc,Haut-Médoc,"France, Bordeaux, Médoc, Haut-Médoc",1.5L,,Château Caronne Ste. Gemme,,,,,,
2,2020,Château Caronne Ste. Gemme,DRY WINES,Red,France,Bordeaux,Médoc,Haut-Médoc,"France, Bordeaux, Médoc, Haut-Médoc",1.4L,,Château Caronne Ste. Gemme,,,,,,
3,2021,Château Caronne Ste. Gemme,DRY WINES,Red,France,Bordeaux,Médoc,Haut-Médoc,"France, Bordeaux, Médoc, Haut-Médoc",1.4L,,Château Caronne Ste. Gemme,,,,,,
6,2011,Château Chasse-Spleen,DRY WINES,Red,France,Bordeaux,Médoc,Moulis en Médoc,"France, Bordeaux, Médoc, Moulis en Médoc",750ml,,Château Chasse-Spleen,,,,,,
6,2020,Château Chasse-Spleen,DRY WINES,Red,France,Bordeaux,Médoc,Moulis en Médoc,"France, Bordeaux, Médoc, Moulis en Médoc",750ml,,Château Chasse-Spleen,,,,,,
6,2022,Domaine de Chevalier,DRY WINES,Red,France,Bordeaux,Graves,Pessac-Léognan,"France, Bordeaux, Graves, Pessac-Léognan",750ml,,Domaine de Chevalier,,,,,,
6,2014,Château Cissac,DRY WINES,Red,France,Bordeaux,Médoc,Haut-Médoc,"France, Bordeaux, Médoc, Haut-Médoc",750ml,,Château Cissac,,,,,,
12,2017,Château Cissac,DRY WINES,Red,France,Bordeaux,Médoc,Haut-Médoc,"France, Bordeaux, Médoc, Haut-Médoc",750ml,,Château Cissac,,,,,,
12,2020,Château Cissac,DRY WINES,Red,France,Bordeaux,Médoc,Haut-Médoc,"France, Bordeaux, Médoc, Haut-Médoc",750ml,,Château Cissac,,,,,,
1,2015,Château du Courneau Margaux,DRY WINES,Red,France,Bordeaux,Médoc,Margaux,"France, Bordeaux, Médoc, Margaux",750ml,,Château du Courneau Margaux,,,,,,
6,2014,Château Ducru-Beaucaillou,DRY WINES,Red,France,Bordeaux,Médoc,Saint-Julien,"France, Bordeaux, Médoc, Saint-Julien",750ml,,Château Ducru-Beaucaillou,,,,,,
6,2020,Château Ducru-Beaucaillou La Croix Ducru-Beaucaillou,DRY WINES,Red,France,Bordeaux,Médoc,Saint-Julien,"France, Bordeaux, Médoc, Saint-Julien",750ml,,Château Ducru-Beaucaillou La Croix Ducru-Beaucaillou,,,,,,
1,2018,Esprit de Puisseguin,DRY WINES,Red,France,Bordeaux,Libournais,Puisseguin Saint-Émilion,"France, Bordeaux, Libournais, Puisseguin Saint-Émilion",750ml,,Esprit de Puisseguin,,,,,,
1,2018,Château Gloria,DRY WINES,Red,France,Bordeaux,Médoc,Saint-Julien,"France, Bordeaux, Médoc, Saint-Julien",750ml,,Château Gloria,,,,,,
3,2014,Château Grand Pey Lescours,DRY WINES,Red,France,Bordeaux,Libournais,Saint-Émilion Grand Cru,"France, Bordeaux, Libournais, Saint-Émilion Grand Cru",750ml,,Château Grand Pey Lescours,,,,,,
1,2016,Château Grand-Puy-Lacoste,DRY WINES,Red,France,Bordeaux,Médoc,Pauillac,"France, Bordeaux, Médoc, Pauillac",1.5L,,Château Grand-Puy-Lacoste,,,,,,
6,2016,Château Gruaud Larose,DRY WINES,Red,France,Bordeaux,Médoc,Saint-Julien,"France, Bordeaux, Médoc, Saint-Julien",750ml,,Château Gruaud Larose,,,,,,
6,2016,Château Gruaud Larose Sarget de Gruaud Larose,DRY WINES,Red,France,Bordeaux,Médoc,Saint-Julien,"France, Bordeaux, Médoc, Saint-Julien",750ml,,Château Gruaud Larose Sarget de Gruaud Larose,,,,,,
6,2013,Château La Pointe,DRY WINES,Red,France,Bordeaux,Libournais,Pomerol,"France, Bordeaux, Libournais, Pomerol",750ml,,Château La Pointe,,,,,,
3,2020,Château Laﬁte Rothschild,DRY WINES,Red,France,Bordeaux,Médoc,Pauillac,"France, Bordeaux, Médoc, Pauillac",750ml,,Château Laﬁte Rothschild,,,,,,
12,2015,Château Langoa Barton,DRY WINES,Red,France,Bordeaux,Médoc,Saint-Julien,"France, Bordeaux, Médoc, Saint-Julien",750ml,,Château Langoa Barton,,,,,,
6,2004,Château Léoville Barton,DRY WINES,Red,France,Bordeaux,Médoc,Saint-Julien,"France, Bordeaux, Médoc, Saint-Julien",750ml,,Château Léoville Barton,,,,,,
6,2006,Château Léoville Barton,DRY WINES,Red,France,Bordeaux,Médoc,Saint-Julien,"France, Bordeaux, Médoc, Saint-Julien",750ml,,Château Léoville Barton,,,,,,
6,2011,Château Léoville Barton,DRY WINES,Red,France,Bordeaux,Médoc,Saint-Julien,"France, Bordeaux, Médoc, Saint-Julien",750ml,,Château Léoville Barton,,,,,,
6,2012,Château Léoville Barton,DRY WINES,Red,France,Bordeaux,Médoc,Saint-Julien,"France, Bordeaux, Médoc, Saint-Julien",750ml,,Château Léoville Barton,,,,,,
6,2012,Château Léoville Poyferré,DRY WINES,Red,France,Bordeaux,Médoc,Saint-Julien,"France, Bordeaux, Médoc, Saint-Julien",750ml,,Château Léoville Poyferré,,,,,,
3,2023,Château Meyney,DRY WINES,Red,France,Bordeaux,Médoc,Saint-Estèphe,"France, Bordeaux, Médoc, Saint-Estèphe",1.5L,,Château Meyney,,,,,,
3,2009,Château Mouton Rothschild,DRY WINES,Red,France,Bordeaux,Médoc,Pauillac,"France, Bordeaux, Médoc, Pauillac",750ml,,Château Mouton Rothschild,,,,,,
